variable,source,itemid,label,value_source,train_measurement_count,train_sample_count,train_sample_coverage
chartevents::226109::Cordis/Introducer placed in outside facility::valuenum,chartevents,226109,Cordis/Introducer placed in outside facility,valuenum,1596,461,0.05748129675810474
chartevents::228723::Pressure ulcer #1- Length::valuenum,chartevents,228723,Pressure ulcer #1- Length,valuenum,1118,457,0.056982543640897755
chartevents::228620::Pressure Ulcer #1- Width::valuenum,chartevents,228620,Pressure Ulcer #1- Width,valuenum,1116,455,0.05673316708229426
"labevents::50806::Chloride, Whole Blood::valuenum",labevents,50806,"Chloride, Whole Blood",valuenum,752,455,0.05673316708229426
chartevents::225105::Unable to assess habits::valuenum,chartevents,225105,Unable to assess habits,valuenum,738,448,0.055860349127182046
"labevents::51093::Osmolality, Urine::valuenum",labevents,51093,"Osmolality, Urine",valuenum,497,444,0.05536159600997506
chartevents::225674::Mixed Venous O2% Sat::valuenum,chartevents,225674,Mixed Venous O2% Sat,valuenum,1470,443,0.055236907730673315
chartevents::227366::16 Gauge Dressing Occlusive::valuenum,chartevents,227366,16 Gauge Dressing Occlusive,valuenum,1327,442,0.05511221945137157
chartevents::225086::Unable to assess cognitive / perceptual::valuenum,chartevents,225086,Unable to assess cognitive / perceptual,valuenum,702,436,0.0543640897755611
chartevents::228098::16 Gauge placed in the field::valuenum,chartevents,228098,16 Gauge placed in the field,valuenum,1302,432,0.053865336658354114
chartevents::226136::16 Gauge placed in outside facility::valuenum,chartevents,226136,16 Gauge placed in outside facility,valuenum,1297,431,0.05374064837905237
chartevents::229357::Absolute Count - Neuts::valuenum,chartevents,229357,Absolute Count - Neuts,valuenum,464,428,0.05336658354114713
chartevents::229358::Absolute Count - Lymphs::valuenum,chartevents,229358,Absolute Count - Lymphs,valuenum,464,428,0.05336658354114713
chartevents::229359::Absolute Count - Monos::valuenum,chartevents,229359,Absolute Count - Monos,valuenum,464,428,0.05336658354114713
chartevents::229360::Absolute Count - Eos::valuenum,chartevents,229360,Absolute Count - Eos,valuenum,464,428,0.05336658354114713
chartevents::229361::Absolute Count - Basos::valuenum,chartevents,229361,Absolute Count - Basos,valuenum,464,428,0.05336658354114713
chartevents::225206::Multi Lumen Zero/Calibrate::valuenum,chartevents,225206,Multi Lumen Zero/Calibrate,valuenum,678,425,0.0529925187032419
labevents::50956::Lipase::valuenum,labevents,50956,Lipase,valuenum,467,422,0.05261845386533666
chartevents::220059::Pulmonary Artery Pressure systolic::valuenum,chartevents,220059,Pulmonary Artery Pressure systolic,valuenum,3463,405,0.05049875311720698
chartevents::220060::Pulmonary Artery Pressure diastolic::valuenum,chartevents,220060,Pulmonary Artery Pressure diastolic,valuenum,3460,405,0.05049875311720698
chartevents::220061::Pulmonary Artery Pressure mean::valuenum,chartevents,220061,Pulmonary Artery Pressure mean,valuenum,3020,402,0.05012468827930175
chartevents::227351::PA Catheter Dressing Occlusive::valuenum,chartevents,227351,PA Catheter Dressing Occlusive,valuenum,1458,399,0.04975062344139651
chartevents::224329::PCA lockout (min)::valuenum,chartevents,224329,PCA lockout (min),valuenum,2347,398,0.049625935162094764
chartevents::224328::PCA dose::valuenum,chartevents,224328,PCA dose,valuenum,2346,397,0.04950124688279302
chartevents::224330::PCA 1 hour limit::valuenum,chartevents,224330,PCA 1 hour limit,valuenum,2319,396,0.04937655860349127
labevents::50993::Thyroid Stimulating Hormone::valuenum,labevents,50993,Thyroid Stimulating Hormone,valuenum,399,389,0.048503740648379055
chartevents::226114::PA Catheter placed in outside facility::valuenum,chartevents,226114,PA Catheter placed in outside facility,valuenum,1413,387,0.04825436408977556
chartevents::223762::Temperature Celsius::valuenum,chartevents,223762,Temperature Celsius,valuenum,6174,386,0.04812967581047382
labevents::52135::Immature Granulocytes::valuenum,labevents,52135,Immature Granulocytes,valuenum,419,385,0.04800498753117207
chartevents::227801::Stool Guaiac QC::valuenum,chartevents,227801,Stool Guaiac QC,valuenum,478,380,0.04738154613466334
"labevents::51104::Urea Nitrogen, Urine::valuenum",labevents,51104,"Urea Nitrogen, Urine",valuenum,392,376,0.04688279301745636
chartevents::220227::Arterial O2 Saturation::valuenum,chartevents,220227,Arterial O2 Saturation,valuenum,509,373,0.04650872817955112
chartevents::224663::PCA attempt::valuenum,chartevents,224663,PCA attempt,valuenum,1718,367,0.045760598503740646
chartevents::224332::PCA inject::valuenum,chartevents,224332,PCA inject,valuenum,1722,366,0.0456359102244389
chartevents::224665::PCA total dose::valuenum,chartevents,224665,PCA total dose,valuenum,1622,362,0.04513715710723192
chartevents::225358::PA Catheter Zero/Calibrate::valuenum,chartevents,225358,PA Catheter Zero/Calibrate,valuenum,680,341,0.04251870324189526
chartevents::226185::ICU Consent Signed::valuenum,chartevents,226185,ICU Consent Signed,valuenum,340,340,0.04239401496259352
labevents::50908::CK-MB Index::valuenum,labevents,50908,CK-MB Index,valuenum,486,334,0.04164588528678304
chartevents::225112::Unable to assess pain::valuenum,chartevents,225112,Unable to assess pain,valuenum,549,326,0.04064837905236908
chartevents::228773::Pressure ulcer #1- Odor::valuenum,chartevents,228773,Pressure ulcer #1- Odor,valuenum,454,321,0.04002493765586035
labevents::50815::O2 Flow::valuenum,labevents,50815,O2 Flow,valuenum,378,318,0.03965087281795511
chartevents::225672::Lipase::valuenum,chartevents,225672,Lipase,valuenum,347,316,0.03940149625935162
chartevents::226534::Sodium (whole blood)::valuenum,chartevents,226534,Sodium (whole blood),valuenum,503,314,0.03915211970074813
chartevents::225628::CK-MB fraction (%)::valuenum,chartevents,225628,CK-MB fraction (%),valuenum,444,314,0.03915211970074813
chartevents::225280::Called Out::valuenum,chartevents,225280,Called Out,valuenum,305,305,0.038029925187032416
chartevents::227455::Vancomycin (Trough)::valuenum,chartevents,227455,Vancomycin (Trough),valuenum,310,300,0.03740648379052369
chartevents::225187::Back Care::valuenum,chartevents,225187,Back Care,valuenum,881,291,0.03628428927680798
labevents::50816::Oxygen::valuenum,labevents,50816,Oxygen,valuenum,351,291,0.03628428927680798
chartevents::224916::Impaired Skin Length #2::valuenum,chartevents,224916,Impaired Skin Length #2,valuenum,756,286,0.03566084788029925
chartevents::225185::Skin Care::valuenum,chartevents,225185,Skin Care,valuenum,861,284,0.03541147132169576
labevents::50963::NTproBNP::valuenum,labevents,50963,NTproBNP,valuenum,284,279,0.03478802992518703
chartevents::227454::Vancomycin (Random)::valuenum,chartevents,227454,Vancomycin (Random),valuenum,296,278,0.03466334164588529
chartevents::229356::Differential - Immature Granulocytes::valuenum,chartevents,229356,Differential - Immature Granulocytes,valuenum,291,277,0.034538653366583544
chartevents::223773::PA Line cm Mark::valuenum,chartevents,223773,PA Line cm Mark,valuenum,881,275,0.03428927680798005
chartevents::224689::Respiratory Rate (spontaneous)::valuenum,chartevents,224689,Respiratory Rate (spontaneous),valuenum,685,274,0.034164588528678305
chartevents::224951::Impaired Skin Width #2::valuenum,chartevents,224951,Impaired Skin Width #2,valuenum,715,270,0.03366583541147132
chartevents::228343::OCAT - Lips Tongue Gums Palate::valuenum,chartevents,228343,OCAT - Lips Tongue Gums Palate,valuenum,317,267,0.03329177057356608
chartevents::228346::OCAT - Teeth::valuenum,chartevents,228346,OCAT - Teeth,valuenum,315,266,0.03316708229426434
"chartevents::228344::OCAT - Saliva secretions, Voice quality::valuenum",chartevents,228344,"OCAT - Saliva secretions, Voice quality",valuenum,314,266,0.03316708229426434
chartevents::228345::OCAT - Swallow::valuenum,chartevents,228345,OCAT - Swallow,valuenum,314,265,0.033042394014962596
chartevents::224690::Respiratory Rate (Total)::valuenum,chartevents,224690,Respiratory Rate (Total),valuenum,664,259,0.03229426433915212
chartevents::224924::Impaired Skin Odor #3::valuenum,chartevents,224924,Impaired Skin Odor #3,valuenum,741,258,0.03216957605985037
chartevents::224366::Epidural Infusion Rate (mL/hr)::valuenum,chartevents,224366,Epidural Infusion Rate (mL/hr),valuenum,1514,253,0.03154613466334165
labevents::51000::Triglycerides::valuenum,labevents,51000,Triglycerides,valuenum,274,252,0.0314214463840399
labevents::51514::Urobilinogen::valuenum,labevents,51514,Urobilinogen,valuenum,262,249,0.031047381546134664
chartevents::227357::Dialysis Catheter Dressing Occlusive::valuenum,chartevents,227357,Dialysis Catheter Dressing Occlusive,valuenum,870,246,0.030673316708229426
chartevents::223873::Paw High::valuenum,chartevents,223873,Paw High,valuenum,631,246,0.030673316708229426
labevents::51484::Ketone::valuenum,labevents,51484,Ketone,valuenum,255,244,0.030423940149625937
chartevents::223876::Apnea Interval::valuenum,chartevents,223876,Apnea Interval,valuenum,628,243,0.03029925187032419
labevents::50852::% Hemoglobin A1c::valuenum,labevents,50852,% Hemoglobin A1c,valuenum,247,243,0.03029925187032419
labevents::51613::eAG::valuenum,labevents,51613,eAG,valuenum,247,243,0.03029925187032419
chartevents::223874::Vti High::valuenum,chartevents,223874,Vti High,valuenum,622,240,0.029925187032418952
chartevents::226536::Chloride (whole blood)::valuenum,chartevents,226536,Chloride (whole blood),valuenum,345,240,0.029925187032418952
labevents::50924::Ferritin::valuenum,labevents,50924,Ferritin,valuenum,240,236,0.02942643391521197
chartevents::223810::Paroxysmal Sweats::valuenum,chartevents,223810,Paroxysmal Sweats,valuenum,878,235,0.029301745635910224
chartevents::223811::Anxiety::valuenum,chartevents,223811,Anxiety,valuenum,878,235,0.029301745635910224
chartevents::223805::Nausea and Vomiting (CIWA)::valuenum,chartevents,223805,Nausea and Vomiting (CIWA),valuenum,876,235,0.029301745635910224
chartevents::223817::Agitation::valuenum,chartevents,223817,Agitation,valuenum,874,235,0.029301745635910224
chartevents::223875::Fspn High::valuenum,chartevents,223875,Fspn High,valuenum,567,235,0.029301745635910224
chartevents::223806::Tremor (CIWA)::valuenum,chartevents,223806,Tremor (CIWA),valuenum,875,234,0.029177057356608478
chartevents::223814::Auditory Disturbance::valuenum,chartevents,223814,Auditory Disturbance,valuenum,870,233,0.029052369077306732
chartevents::223818::Tactile Disturbances::valuenum,chartevents,223818,Tactile Disturbances,valuenum,867,233,0.029052369077306732
chartevents::223819::Visual Disturbances::valuenum,chartevents,223819,Visual Disturbances,valuenum,867,233,0.029052369077306732
chartevents::223821::Orient/Clouding Sensory::valuenum,chartevents,223821,Orient/Clouding Sensory,valuenum,865,233,0.029052369077306732
chartevents::225693::Triglyceride::valuenum,chartevents,225693,Triglyceride,valuenum,251,233,0.029052369077306732
labevents::50935::Haptoglobin::valuenum,labevents,50935,Haptoglobin,valuenum,243,233,0.029052369077306732
chartevents::223820::Headache::valuenum,chartevents,223820,Headache,valuenum,868,232,0.02892768079800499
chartevents::227582::BiPap O2 Flow::valuenum,chartevents,227582,BiPap O2 Flow,valuenum,448,228,0.028428927680798004
"labevents::50964::Osmolality, Measured::valuenum",labevents,50964,"Osmolality, Measured",valuenum,412,228,0.028428927680798004
chartevents::227579::BiPap EPAP::valuenum,chartevents,227579,BiPap EPAP,valuenum,436,221,0.027556109725685785
chartevents::226889::Legal Guardian::valuenum,chartevents,226889,Legal Guardian,valuenum,392,217,0.027057356608478803
chartevents::224331::PCA basal rate (mL/hour)::valuenum,chartevents,224331,PCA basal rate (mL/hour),valuenum,1165,215,0.02680798004987531
chartevents::224738::Inspiratory Time::valuenum,chartevents,224738,Inspiratory Time,valuenum,463,213,0.026558603491271822
chartevents::226118::Dialysis Catheter placed in outside facility::valuenum,chartevents,226118,Dialysis Catheter placed in outside facility,valuenum,729,212,0.026433915211970076
chartevents::227360::Indwelling Port (PortaCath) Dressing Occlusive::valuenum,chartevents,227360,Indwelling Port (PortaCath) Dressing Occlusive,valuenum,718,211,0.02630922693266833
labevents::51446::Lymphocytes::valuenum,labevents,51446,Lymphocytes,valuenum,225,209,0.026059850374064837
labevents::51450::Monos::valuenum,labevents,51450,Monos,valuenum,225,209,0.026059850374064837
labevents::51455::Polys::valuenum,labevents,51455,Polys,valuenum,225,209,0.026059850374064837
"labevents::52391::Total Nucleated Cells, Pleural::valuenum",labevents,52391,"Total Nucleated Cells, Pleural",valuenum,225,209,0.026059850374064837
"labevents::51054::Lactate Dehydrogenase, Pleural::valuenum",labevents,51054,"Lactate Dehydrogenase, Pleural",valuenum,224,208,0.02593516209476309
"labevents::51059::Total Protein, Pleural::valuenum",labevents,51059,"Total Protein, Pleural",valuenum,224,208,0.02593516209476309
chartevents::227580::BiPap IPAP::valuenum,chartevents,227580,BiPap IPAP,valuenum,413,207,0.025810473815461348
labevents::50867::Amylase::valuenum,labevents,50867,Amylase,valuenum,238,207,0.025810473815461348
chartevents::223771::PCWP::valuenum,chartevents,223771,PCWP,valuenum,616,206,0.025685785536159602
chartevents::228229::PAR-Activity::valuenum,chartevents,228229,PAR-Activity,valuenum,453,206,0.025685785536159602
chartevents::228234::PAR-Respiration::valuenum,chartevents,228234,PAR-Respiration,valuenum,452,206,0.025685785536159602
chartevents::228231::PAR-Consciousness::valuenum,chartevents,228231,PAR-Consciousness,valuenum,450,206,0.025685785536159602
"labevents::50883::Bilirubin, Direct::valuenum",labevents,50883,"Bilirubin, Direct",valuenum,232,206,0.025685785536159602
labevents::50952::Iron::valuenum,labevents,50952,Iron,valuenum,211,206,0.025685785536159602
chartevents::228230::PAR-Circulation::valuenum,chartevents,228230,PAR-Circulation,valuenum,449,205,0.025561097256857856
chartevents::228232::PAR-Oxygen saturation::valuenum,chartevents,228232,PAR-Oxygen saturation,valuenum,448,205,0.025561097256857856
chartevents::225684::Serum Osmolality::valuenum,chartevents,225684,Serum Osmolality,valuenum,387,204,0.02543640897755611
chartevents::229319::Activity / Mobility (JH-HLM)::valuenum,chartevents,229319,Activity / Mobility (JH-HLM),valuenum,1303,203,0.025311720698254363
chartevents::227446::Brain Natiuretic Peptide (BNP)::valuenum,chartevents,227446,Brain Natiuretic Peptide (BNP),valuenum,200,199,0.024812967581047382
"labevents::50907::Cholesterol, Total::valuenum",labevents,50907,"Cholesterol, Total",valuenum,200,198,0.024688279301745636
"labevents::50884::Bilirubin, Indirect::valuenum",labevents,50884,"Bilirubin, Indirect",valuenum,214,195,0.024314214463840397
labevents::51257::Nucleated Red Cells::valuenum,labevents,51257,Nucleated Red Cells,valuenum,212,195,0.024314214463840397
"labevents::50953::Iron Binding Capacity, Total::valuenum",labevents,50953,"Iron Binding Capacity, Total",valuenum,196,193,0.02406483790523691
labevents::50998::Transferrin::valuenum,labevents,50998,Transferrin,valuenum,196,193,0.02406483790523691
chartevents::220581::Amylase::valuenum,chartevents,220581,Amylase,valuenum,214,192,0.023940149625935162
"labevents::51053::Glucose, Pleural::valuenum",labevents,51053,"Glucose, Pleural",valuenum,202,191,0.023815461346633416
chartevents::227516::PO2 (Mixed Venous)::valuenum,chartevents,227516,PO2 (Mixed Venous),valuenum,285,189,0.023566084788029924
chartevents::220603::Cholesterol::valuenum,chartevents,220603,Cholesterol,valuenum,186,184,0.022942643391521196
chartevents::224688::Respiratory Rate (Set)::valuenum,chartevents,224688,Respiratory Rate (Set),valuenum,421,182,0.022693266832917707
chartevents::225651::Direct Bilirubin::valuenum,chartevents,225651,Direct Bilirubin,valuenum,198,182,0.022693266832917707
"labevents::50904::Cholesterol, HDL::valuenum",labevents,50904,"Cholesterol, HDL",valuenum,183,181,0.02256857855361596
labevents::50903::Cholesterol Ratio (Total/HDL)::valuenum,labevents,50903,Cholesterol Ratio (Total/HDL),valuenum,182,180,0.022443890274314215
chartevents::224563::Impaired Skin Depth #1::valuenum,chartevents,224563,Impaired Skin Depth #1,valuenum,451,178,0.022194513715710722
"labevents::51283::Reticulocyte Count, Automated::valuenum",labevents,51283,"Reticulocyte Count, Automated",valuenum,179,177,0.022069825436408976
"labevents::50905::Cholesterol, LDL, Calculated::valuenum",labevents,50905,"Cholesterol, LDL, Calculated",valuenum,178,176,0.021945137157107233
chartevents::225312::ART BP Mean::valuenum,chartevents,225312,ART BP Mean,valuenum,2457,175,0.021820448877805487
"labevents::51457::RBC, Pleural::valuenum",labevents,51457,"RBC, Pleural",valuenum,186,175,0.021820448877805487
chartevents::223772::SvO2::valuenum,chartevents,223772,SvO2,valuenum,684,173,0.021571072319201995
chartevents::220624::HDL::valuenum,chartevents,220624,HDL,valuenum,174,172,0.02144638403990025
chartevents::225309::ART BP Systolic::valuenum,chartevents,225309,ART BP Systolic,valuenum,2439,171,0.021321695760598502
chartevents::225310::ART BP Diastolic::valuenum,chartevents,225310,ART BP Diastolic,valuenum,2437,171,0.021321695760598502
chartevents::228335::CAM-ICU Disorganized thinking::valuenum,chartevents,228335,CAM-ICU Disorganized thinking,valuenum,215,171,0.021321695760598502
chartevents::224309::Assisted Systole::valuenum,chartevents,224309,Assisted Systole,valuenum,2378,170,0.02119700748129676
chartevents::224310::Augmented Diastole::valuenum,chartevents,224310,Augmented Diastole,valuenum,2378,170,0.02119700748129676
chartevents::224311::BAEDP::valuenum,chartevents,224311,BAEDP,valuenum,2378,170,0.02119700748129676
chartevents::224322::IABP Mean::valuenum,chartevents,224322,IABP Mean,valuenum,2378,170,0.02119700748129676
chartevents::224652::Unassisted Systole::valuenum,chartevents,224652,Unassisted Systole,valuenum,2335,170,0.02119700748129676
chartevents::224654::PAEDP::valuenum,chartevents,224654,PAEDP,valuenum,2335,170,0.02119700748129676
chartevents::225671::LDL calculated::valuenum,chartevents,225671,LDL calculated,valuenum,169,167,0.02082294264339152
chartevents::225313::Bed Bath::valuenum,chartevents,225313,Bed Bath,valuenum,189,165,0.02057356608478803
chartevents::227439::Indwelling Port (PortaCath) placed in outside facility::valuenum,chartevents,227439,Indwelling Port (PortaCath) placed in outside facility,valuenum,578,164,0.020448877805486283
chartevents::223872::Inspired Gas Temp.::valuenum,chartevents,223872,Inspired Gas Temp.,valuenum,611,163,0.02032418952618454
chartevents::228610::Pressure Ulcer #1- Depth::valuenum,chartevents,228610,Pressure Ulcer #1- Depth,valuenum,406,160,0.0199501246882793
chartevents::225342::IABP Zero/Calibrate::valuenum,chartevents,225342,IABP Zero/Calibrate,valuenum,523,159,0.019825436408977555
chartevents::227355::IABP Dressing Occlusive::valuenum,chartevents,227355,IABP Dressing Occlusive,valuenum,523,159,0.019825436408977555
chartevents::225981::IABP Alarms Activated::valuenum,chartevents,225981,IABP Alarms Activated,valuenum,513,158,0.01970074812967581
chartevents::226110::IABP placed in outside facility::valuenum,chartevents,226110,IABP placed in outside facility,valuenum,517,157,0.019576059850374066
labevents::50909::Cortisol::valuenum,labevents,50909,Cortisol,valuenum,172,153,0.01907730673316708
"labevents::51051::Cholesterol, Pleural::valuenum",labevents,51051,"Cholesterol, Pleural",valuenum,162,151,0.018827930174563592
labevents::51447::Macrophages::valuenum,labevents,51447,Macrophages,valuenum,162,151,0.018827930174563592
"labevents::50976::Protein, Total::valuenum",labevents,50976,"Protein, Total",valuenum,154,149,0.0185785536159601
"labevents::51046::Albumin, Pleural::valuenum",labevents,51046,"Albumin, Pleural",valuenum,154,146,0.01820448877805486
chartevents::229324::CAM-ICU Disorganized thinking::valuenum,chartevents,229324,CAM-ICU Disorganized thinking,valuenum,178,143,0.017830423940149626
chartevents::227463::Cortisol::valuenum,chartevents,227463,Cortisol,valuenum,156,143,0.017830423940149626
chartevents::225980::IABP Volume::valuenum,chartevents,225980,IABP Volume,valuenum,464,140,0.017456359102244388
chartevents::224917::Impaired Skin Length #3::valuenum,chartevents,224917,Impaired Skin Length #3,valuenum,384,139,0.017331670822942645
chartevents::226871::Expiratory Ratio::valuenum,chartevents,226871,Expiratory Ratio,valuenum,291,138,0.0172069825436409
chartevents::226873::Inspiratory Ratio::valuenum,chartevents,226873,Inspiratory Ratio,valuenum,289,137,0.017082294264339153
labevents::51478::Glucose::valuenum,labevents,51478,Glucose,valuenum,142,137,0.017082294264339153
chartevents::220650::Total Protein::valuenum,chartevents,220650,Total Protein,valuenum,141,136,0.016957605985037406
chartevents::224952::Impaired Skin Width #3::valuenum,chartevents,224952,Impaired Skin Width #3,valuenum,365,133,0.01658354114713217
labevents::51007::Uric Acid::valuenum,labevents,51007,Uric Acid,valuenum,184,130,0.016209476309226933
chartevents::225192::Collar Care::valuenum,chartevents,225192,Collar Care,valuenum,167,124,0.015461346633416459
chartevents::224417::Cuff Pressure::valuenum,chartevents,224417,Cuff Pressure,valuenum,185,121,0.015087281795511222
labevents::50831::pH::valuenum,labevents,50831,pH,valuenum,129,120,0.014962593516209476
labevents::50967::Phenytoin::valuenum,labevents,50967,Phenytoin,valuenum,144,119,0.014837905236907731
chartevents::228621::Pressure Ulcer #2- Width::valuenum,chartevents,228621,Pressure Ulcer #2- Width,valuenum,256,118,0.014713216957605985
chartevents::224925::Impaired Skin Odor #4::valuenum,chartevents,224925,Impaired Skin Odor #4,valuenum,316,117,0.014588528678304239
chartevents::228724::Pressure ulcer #2- Length::valuenum,chartevents,228724,Pressure ulcer #2- Length,valuenum,251,117,0.014588528678304239
chartevents::226473::Blood Transfusion Consent::valuenum,chartevents,226473,Blood Transfusion Consent,valuenum,117,117,0.014588528678304239
chartevents::228233::PAR-Remain sedated::valuenum,chartevents,228233,PAR-Remain sedated,valuenum,184,115,0.014339152119700748
labevents::50986::tacroFK::valuenum,labevents,50986,tacroFK,valuenum,127,114,0.014214463840399002
chartevents::228137::CHG Bath::valuenum,chartevents,228137,CHG Bath,valuenum,125,113,0.014089775561097256
labevents::51448::Mesothelial Cells::valuenum,labevents,51448,Mesothelial Cells,valuenum,117,113,0.014089775561097256
chartevents::224701::PSV Level::valuenum,chartevents,224701,PSV Level,valuenum,267,109,0.013591022443890275
chartevents::225695::Uric Acid::valuenum,chartevents,225695,Uric Acid,valuenum,148,109,0.013591022443890275
labevents::50801::Alveolar-arterial Gradient::valuenum,labevents,50801,Alveolar-arterial Gradient,valuenum,129,108,0.013466334164588529
labevents::50823::Required O2::valuenum,labevents,50823,Required O2,valuenum,129,108,0.013466334164588529
chartevents::226457::Ultrafiltrate Output::valuenum,chartevents,226457,Ultrafiltrate Output,valuenum,1265,105,0.013092269326683292
chartevents::224169::MDI #1 Puff::valuenum,chartevents,224169,MDI #1 Puff,valuenum,131,105,0.013092269326683292
chartevents::227461::Phenytoin (Dilantin)::valuenum,chartevents,227461,Phenytoin (Dilantin),valuenum,122,105,0.013092269326683292
chartevents::224751::Temporary Pacemaker Rate::valuenum,chartevents,224751,Temporary Pacemaker Rate,valuenum,348,101,0.012593516209476309
labevents::51479::Granular Casts::valuenum,labevents,51479,Granular Casts,valuenum,103,101,0.012593516209476309
labevents::50889::C-Reactive Protein::valuenum,labevents,50889,C-Reactive Protein,valuenum,103,101,0.012593516209476309
chartevents::224410::PCA bolus::valuenum,chartevents,224410,PCA bolus,valuenum,281,100,0.012468827930174564
chartevents::227462::FK506::valuenum,chartevents,227462,FK506,valuenum,113,100,0.012468827930174564
chartevents::227686::Central Venous O2% Sat::valuenum,chartevents,227686,Central Venous O2% Sat,valuenum,113,99,0.012344139650872818
chartevents::225729::Multi Lumen Line Tip Cultured::valuenum,chartevents,225729,Multi Lumen Line Tip Cultured,valuenum,146,97,0.012094763092269327
chartevents::224411::Epidural Bolus (mL)::valuenum,chartevents,224411,Epidural Bolus (mL),valuenum,318,95,0.011845386533665835
labevents::50917::Digoxin::valuenum,labevents,50917,Digoxin,valuenum,99,95,0.011845386533665835
chartevents::226499::Hemodialysis Output::valuenum,chartevents,226499,Hemodialysis Output,valuenum,91,89,0.011097256857855361
chartevents::225722::Arterial Line Tip Cultured::valuenum,chartevents,225722,Arterial Line Tip Cultured,valuenum,134,88,0.010972568578553617
labevents::51453::Other::valuenum,labevents,51453,Other,valuenum,89,87,0.01084788029925187
chartevents::224406::VEN Lumen Volume::valuenum,chartevents,224406,VEN Lumen Volume,valuenum,316,86,0.010723192019950124
chartevents::224404::ART Lumen Volume::valuenum,chartevents,224404,ART Lumen Volume,valuenum,315,86,0.010723192019950124
chartevents::224838::Temporary Ventricular Stim Setting mA::valuenum,chartevents,224838,Temporary Ventricular Stim Setting mA,valuenum,273,86,0.010723192019950124
chartevents::224837::Temporary Ventricular Sens Setting mV::valuenum,chartevents,224837,Temporary Ventricular Sens Setting mV,valuenum,263,86,0.010723192019950124
"labevents::50803::Calculated Bicarbonate, Whole Blood::valuenum",labevents,50803,"Calculated Bicarbonate, Whole Blood",valuenum,103,86,0.010723192019950124
chartevents::227444::C Reactive Protein (CRP)::valuenum,chartevents,227444,C Reactive Protein (CRP),valuenum,86,85,0.01059850374064838
labevents::51010::Vitamin B12::valuenum,labevents,51010,Vitamin B12,valuenum,84,84,0.010473815461346634
chartevents::224895::Impaired Skin Depth #2::valuenum,chartevents,224895,Impaired Skin Depth #2,valuenum,230,83,0.010349127182044887
chartevents::225732::PICC Line Tip Cultured::valuenum,chartevents,225732,PICC Line Tip Cultured,valuenum,132,83,0.010349127182044887
chartevents::227440::Digoxin::valuenum,chartevents,227440,Digoxin,valuenum,87,83,0.010349127182044887
chartevents::227418::Midline Dressing Occlusive::valuenum,chartevents,227418,Midline Dressing Occlusive,valuenum,264,82,0.010224438902743141
"labevents::51282::Reticulocyte Count, Absolute::valuenum",labevents,51282,"Reticulocyte Count, Absolute",valuenum,82,82,0.010224438902743141
chartevents::223960::Temporary Venticular Stim Threshold mA::valuenum,chartevents,223960,Temporary Venticular Stim Threshold mA,valuenum,177,79,0.009850374064837904
labevents::51427::Lymphocytes::valuenum,labevents,51427,Lymphocytes,valuenum,83,79,0.009850374064837904
labevents::51431::Monos::valuenum,labevents,51431,Monos,valuenum,83,79,0.009850374064837904
labevents::51436::Polys::valuenum,labevents,51436,Polys,valuenum,83,79,0.009850374064837904
chartevents::224144::Blood Flow (ml/min)::valuenum,chartevents,224144,Blood Flow (ml/min),valuenum,1165,76,0.009476309226932668
"labevents::51102::Total Protein, Urine::valuenum",labevents,51102,"Total Protein, Urine",valuenum,77,76,0.009476309226932668
chartevents::224191::Hourly Patient Fluid Removal::valuenum,chartevents,224191,Hourly Patient Fluid Removal,valuenum,1218,75,0.009351620947630923
chartevents::224153::Replacement Rate::valuenum,chartevents,224153,Replacement Rate,valuenum,1198,75,0.009351620947630923
chartevents::228005::PBP (Prefilter) Replacement Rate::valuenum,chartevents,228005,PBP (Prefilter) Replacement Rate,valuenum,1196,75,0.009351620947630923
chartevents::224149::Access Pressure::valuenum,chartevents,224149,Access Pressure,valuenum,1169,75,0.009351620947630923
chartevents::224150::Filter Pressure::valuenum,chartevents,224150,Filter Pressure,valuenum,1168,75,0.009351620947630923
chartevents::224151::Effluent Pressure::valuenum,chartevents,224151,Effluent Pressure,valuenum,1168,75,0.009351620947630923
chartevents::224152::Return Pressure::valuenum,chartevents,224152,Return Pressure,valuenum,1167,75,0.009351620947630923
chartevents::227356::Sheath Line Dressing Occlusive::valuenum,chartevents,227356,Sheath Line Dressing Occlusive,valuenum,160,75,0.009351620947630923
chartevents::228774::Pressure ulcer #2- Odor::valuenum,chartevents,228774,Pressure ulcer #2- Odor,valuenum,106,75,0.009351620947630923
labevents::50930::Globulin::valuenum,labevents,50930,Globulin,valuenum,75,75,0.009351620947630923
chartevents::224154::Dialysate Rate::valuenum,chartevents,224154,Dialysate Rate,valuenum,1184,74,0.009226932668329177
chartevents::224631::Pressure Ulcer Stage #1::valuenum,chartevents,224631,Pressure Ulcer Stage #1,valuenum,203,74,0.009226932668329177
chartevents::224926::Impaired Skin Odor #5::valuenum,chartevents,224926,Impaired Skin Odor #5,valuenum,210,72,0.008977556109725686
"labevents::50995::Thyroxine (T4), Free::valuenum",labevents,50995,"Thyroxine (T4), Free",valuenum,71,71,0.00885286783042394
chartevents::228004::Citrate (ACD-A)::valuenum,chartevents,228004,Citrate (ACD-A),valuenum,1095,70,0.008728179551122194
chartevents::220765::Intra Cranial Pressure::valuenum,chartevents,220765,Intra Cranial Pressure,valuenum,1387,69,0.00860349127182045
